,Salary,Level,Days Into Year,Years at Company,Years of Experience
558,260750.0,2.0,272.0,0.0,2.0
559,293750.0,2.0,272.0,0.0,13.0
560,312500.0,2.0,272.0,0.0,3.0
561,270850.0,2.0,272.0,0.0,4.0
562,190415.0,2.0,272.0,6.0,14.0
563,280000.0,1.0,272.0,2.0,6.0
564,370000.0,3.0,272.0,3.0,6.0
565,235600.0,2.0,272.0,4.0,5.0
566,190000.0,1.0,272.0,3.0,5.0
567,190000.0,1.0,272.0,1.0,1.0
568,350000.0,3.0,271.0,3.0,3.0
570,190000.0,1.0,271.0,0.0,5.0
571,125000.0,2.0,271.0,0.0,0.0
572,270000.0,2.0,271.0,2.0,8.0
573,251500.0,2.0,271.0,0.0,7.0
574,272000.0,2.0,271.0,4.0,10.0
575,323000.0,3.0,271.0,1.0,24.0
576,300000.0,1.0,271.0,0.0,5.0
577,282881.0,2.0,271.0,7.0,7.0
578,167636.0,2.0,271.0,5.0,7.0
579,1000000.0,6.0,271.0,2.0,10.0
580,100000.0,2.0,271.0,0.0,7.0
581,194150.0,1.0,271.0,0.0,0.0
582,425000.0,3.0,270.0,4.0,4.0
583,187500.0,1.0,270.0,0.0,8.0
584,180000.0,1.0,270.0,2.0,2.0
585,250000.0,2.0,270.0,3.0,3.0
586,316000.0,2.0,270.0,3.0,5.0
587,152867.0,2.0,270.0,3.0,10.0
588,230500.0,1.0,270.0,1.0,4.0
589,180000.0,1.0,270.0,0.0,1.0
590,262500.0,4.0,270.0,0.0,5.0
591,493800.0,4.0,270.0,0.0,15.0
592,175000.0,1.0,270.0,0.0,0.0
593,335000.0,4.0,270.0,5.0,10.0
594,319700.0,3.0,269.0,5.0,5.0
595,221000.0,1.0,269.0,3.0,3.0
597,307000.0,2.0,269.0,4.0,6.0
598,286000.0,2.0,269.0,6.0,7.0
599,218550.0,1.0,269.0,0.0,2.0
600,288950.0,2.0,269.0,1.0,7.0
601,620000.0,4.0,268.0,5.0,5.0
602,287500.0,2.0,268.0,0.0,5.0
603,195453.0,1.0,268.0,2.0,2.0
604,380000.0,3.0,268.0,0.0,10.0
605,416500.0,3.0,267.0,8.0,8.0
606,295150.0,2.0,267.0,3.0,7.0
607,535000.0,4.0,267.0,5.0,7.0
608,120000.0,2.0,266.0,1.0,2.0
610,471000.0,3.0,266.0,9.0,16.0
611,232000.0,1.0,266.0,0.0,3.0
612,225000.0,1.0,266.0,0.0,2.0
613,385431.0,3.0,266.0,3.0,8.0
614,200000.0,3.0,266.0,3.0,7.0
615,200000.0,2.0,266.0,2.0,18.0
616,277000.0,2.0,266.0,1.0,5.0
617,75679.0,4.0,266.0,1.0,1.0
618,185766.0,2.0,265.0,2.0,8.0
619,256000.0,2.0,265.0,3.0,3.0
620,190000.0,2.0,265.0,3.0,5.0
